iter	Passed	Remaining
0	142	142534
1	143	71534
2	144	47883
3	144	36059
4	145	28977
5	146	24251
6	147	20870
7	147	18328
8	148	16352
9	149	14772
10	149	13483
11	150	12406
12	151	11504
13	152	10717
14	152	10032
15	153	9432
16	153	8902
17	154	8432
18	155	8012
19	155	7633
20	156	7293
21	157	6984
22	157	6701
23	158	6440
24	158	6200
25	159	5978
26	160	5773
27	160	5582
28	161	5404
29	162	5238
30	162	5083
31	163	4937
32	163	4801
33	164	4673
34	165	4551
35	165	4437
36	166	4329
37	166	4226
38	167	4128
39	168	4035
40	168	3946
41	169	3862
42	169	3782
43	170	3706
44	171	3633
45	171	3563
46	172	3496
47	173	3431
48	173	3370
49	174	3311
50	174	3253
51	175	3198
52	176	3145
53	176	3094
54	177	3045
55	177	2998
56	178	2952
57	179	2907
58	179	2865
59	180	2823
60	180	2783
61	181	2744
62	182	2707
63	182	2670
64	183	2635
65	183	2601
66	184	2568
67	185	2535
68	185	2504
69	186	2474
70	186	2444
71	187	2415
72	188	2388
73	188	2360
74	189	2334
75	189	2308
76	190	2283
77	191	2258
78	191	2234
79	192	2211
80	192	2188
81	193	2166
82	193	2141
83	194	2120
84	195	2099
85	195	2079
86	196	2059
87	196	2040
88	197	2021
89	198	2003
90	198	1984
91	199	1967
92	199	1950
93	200	1932
94	201	1916
95	201	1899
96	202	1883
97	202	1867
98	203	1852
99	204	1837
100	204	1822
101	205	1808
102	206	1794
103	206	1779
104	207	1766
105	207	1752
106	208	1739
107	209	1726
108	209	1713
109	210	1701
110	210	1688
111	211	1676
112	212	1664
113	212	1652
114	213	1641
115	213	1629
116	214	1617
117	214	1606
118	215	1595
119	216	1585
120	216	1574
121	217	1563
122	217	1553
123	218	1544
124	219	1534
125	219	1524
126	220	1514
127	220	1504
128	221	1495
129	222	1486
130	222	1477
131	223	1468
132	223	1459
133	224	1450
134	225	1442
135	225	1433
136	226	1425
137	227	1418
138	227	1411
139	228	1405
140	229	1398
141	230	1389
142	230	1382
143	231	1376
144	232	1369
145	233	1362
146	233	1356
147	234	1349
148	235	1343
149	235	1337
150	236	1331
151	237	1325
152	238	1318
153	238	1312
154	239	1306
155	240	1301
156	241	1295
157	241	1289
158	242	1283
159	243	1278
160	244	1271
161	244	1266
162	245	1260
163	246	1255
164	246	1249
165	247	1244
166	248	1239
167	249	1233
168	249	1228
169	250	1224
170	251	1219
171	252	1214
172	253	1210
173	253	1205
174	254	1200
175	255	1195
176	256	1191
177	256	1186
178	257	1181
179	258	1177
180	259	1172
181	259	1168
182	260	1163
183	261	1158
184	261	1154
185	262	1149
186	263	1144
187	264	1140
188	264	1135
189	265	1131
190	266	1126
191	266	1122
192	267	1117
193	267	1113
194	268	1109
195	269	1104
196	269	1100
197	270	1096
198	271	1091
199	271	1087
200	272	1083
201	273	1079
202	273	1075
203	274	1071
204	275	1067
205	275	1063
206	276	1059
207	277	1055
208	277	1051
209	278	1048
210	279	1044
211	280	1040
212	280	1037
213	281	1033
214	282	1029
215	282	1026
216	283	1022
217	284	1019
218	284	1015
219	285	1011
220	285	1008
221	286	1004
222	287	1000
223	287	997
224	288	993
225	289	989
226	289	986
227	290	982
228	290	979
229	291	975
230	292	972
231	292	969
232	293	965
233	293	962
234	294	958
235	295	955
236	295	952
237	296	948
238	296	945
239	297	942
240	298	938
241	298	935
242	299	932
243	299	929
244	300	926
245	301	923
246	301	919
247	302	916
248	302	913
249	303	910
250	304	907
251	304	904
252	305	901
253	305	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	880
260	310	878
261	310	875
262	311	872
263	311	869
264	312	867
265	313	864
266	314	862
267	314	859
268	315	856
269	315	854
270	316	851
271	317	848
272	317	846
273	318	843
274	318	840
275	319	838
276	320	835
277	320	833
278	321	830
279	322	828
280	322	826
281	323	824
282	324	821
283	324	818
284	325	816
285	326	814
286	326	811
287	327	809
288	327	806
289	328	804
290	329	802
291	329	800
292	330	797
293	331	795
294	331	792
295	332	790
296	332	788
297	333	785
298	334	783
299	334	781
300	335	778
301	336	776
302	336	774
303	337	772
304	338	770
305	338	767
306	339	765
307	340	763
308	340	761
309	341	759
310	341	757
311	342	754
312	342	752
313	343	750
314	344	748
315	344	746
316	345	744
317	345	741
318	346	739
319	347	737
320	347	735
321	348	733
322	348	731
323	349	729
324	350	727
325	350	725
326	351	723
327	352	721
328	352	719
329	353	717
330	353	715
331	354	713
332	355	711
333	355	709
334	356	707
335	357	705
336	357	703
337	358	701
338	358	699
339	359	697
340	360	695
341	360	693
342	361	692
343	361	690
344	362	688
345	363	686
346	363	684
347	364	682
348	365	680
349	365	679
350	366	677
351	366	675
352	367	673
353	368	671
354	368	669
355	369	668
356	369	666
357	370	664
358	371	662
359	371	660
360	372	659
361	373	657
362	373	655
363	374	653
364	374	652
365	375	650
366	376	648
367	376	647
368	377	645
369	378	643
370	378	642
371	379	640
372	380	638
373	380	637
374	381	635
375	381	633
376	382	632
377	383	630
378	383	628
379	384	627
380	384	625
381	385	623
382	386	622
383	386	620
384	387	618
385	388	617
386	388	615
387	389	613
388	389	612
389	390	610
390	390	608
391	391	607
392	392	605
393	392	604
394	393	602
395	394	601
396	394	599
397	395	597
398	395	596
399	396	594
400	397	593
401	397	591
402	398	590
403	399	588
404	399	587
405	400	585
406	400	583
407	401	582
408	401	580
409	402	579
410	403	577
411	403	576
